DATASET,X,Y,FLOW_M3-S,START_YR,END_YR,ID,S_PER,E_PER,S_DAY,E_DAY,FLOW_M3D,CVE_ENT,CVE_MUN,NOM_MUN,CODE
SACM,484606.0000000000,2150489.0000000000,-0.04933333333333330000,2005,2006,205,253,265,7665,8030,-4262.4000000000,09,015,Cuauht??moc,09015
SACM,481862.0000000000,2140960.0000000000,-0.03508333333333330000,2005,2006,206,253,265,7665,8030,-3031.2000000000,09,014,Benito Ju?írez,09014
SACM,483445.0000000000,2136071.0000000000,-0.04824999999999990000,2005,2006,207,253,265,7665,8030,-4168.8000000000,09,003,Coyoac?ín,09003
SACM,480571.0000000000,2145040.0000000000,-0.04475000000000000000,2005,2006,208,253,265,7665,8030,-3866.4000000000,09,016,Miguel Hidalgo,09016
SACM,483553.0000000000,2150442.0000000000,-0.05416666666666660000,2005,2006,209,253,265,7665,8030,-4680.0000000000,09,015,Cuauht??moc,09015
SACM,485190.0000000000,2144841.0000000000,-0.02349999999999990000,2005,2006,210,253,265,7665,8030,-2030.4000000000,09,014,Benito Ju?írez,09014
SACM,485124.0000000000,2145120.0000000000,-0.05041666666666660000,2005,2006,211,253,265,7665,8030,-4356.0000000000,09,014,Benito Ju?írez,09014
SACM,485377.0000000000,2141715.0000000000,-0.05575000000000000000,2005,2006,212,253,265,7665,8030,-4816.8000000000,09,014,Benito Ju?írez,09014
SACM,485104.0000000000,2145574.0000000000,-0.05050000000000000000,2005,2006,213,253,265,7665,8030,-4363.2000000000,09,015,Cuauht??moc,09015
SACM,479176.0000000000,2139108.0000000000,-0.04133333333333330000,2005,2006,214,253,265,7665,8030,-3571.2000000000,09,010,?ülvaro Obreg??n,09010
SACM,481103.0000000000,2138473.0000000000,-0.01899999999999990000,2005,2006,215,253,265,7665,8030,-1641.6000000000,09,003,Coyoac?ín,09003
SACM,480917.0000000000,2139244.0000000000,-0.04041666666666660000,2005,2006,216,253,265,7665,8030,-3492.0000000000,09,003,Coyoac?ín,09003
SACM,480411.0000000000,2143138.0000000000,-0.02233333333333330000,2005,2006,217,253,265,7665,8030,-1929.6000000000,09,014,Benito Ju?írez,09014
SACM,479826.0000000000,2143897.0000000000,-0.03708333333333330000,2005,2006,218,253,265,7665,8030,-3204.0000000000,09,010,?ülvaro Obreg??n,09010
SACM,481716.0000000000,2140255.0000000000,-0.01641666666666660000,2005,2006,219,253,265,7665,8030,-1418.4000000000,09,010,?ülvaro Obreg??n,09010
SACM,488461.0000000000,2146452.0000000000,-0.04383333333333330000,2005,2006,220,253,265,7665,8030,-3787.2000000000,09,017,Venustiano Carranza,09017
SACM,489467.0000000000,2146172.0000000000,-0.04524999999999990000,2005,2006,221,253,265,7665,8030,-3909.6000000000,09,017,Venustiano Carranza,09017
SACM,477767.0000000000,2140498.0000000000,-0.01874999999999990000,2005,2006,222,253,265,7665,8030,-1620.0000000000,09,010,?ülvaro Obreg??n,09010
SACM,480957.0000000000,2145692.0000000000,-0.01483333333333330000,2005,2006,223,253,265,7665,8030,-1281.6000000000,09,016,Miguel Hidalgo,09016
SACM,481103.0000000000,2138473.0000000000,-0.03391666666666660000,2005,2006,224,253,265,7665,8030,-2930.4000000000,09,003,Coyoac?ín,09003
SACM,478852.0000000000,2148058.0000000000,-0.04191666666666660000,2005,2006,225,253,265,7665,8030,-3621.6000000000,09,016,Miguel Hidalgo,09016
SACM,480065.0000000000,2145785.0000000000,-0.05391666666666660000,2005,2006,226,253,265,7665,8030,-4658.4000000000,09,016,Miguel Hidalgo,09016
SACM,478706.0000000000,2148642.0000000000,-0.03200000000000000000,2005,2006,227,253,265,7665,8030,-2764.8000000000,09,016,Miguel Hidalgo,09016
SACM,483260.0000000000,2139989.0000000000,-0.04666666666666660000,2005,2006,228,253,265,7665,8030,-4032.0000000000,09,003,Coyoac?ín,09003
SACM,490215.0000000000,2136947.0000000000,-0.05716666666666660000,2005,2006,229,253,265,7665,8030,-4939.2000000000,09,007,Iztapalapa,09007
SACM,490395.0000000000,2136697.0000000000,-0.03616666666666660000,2005,2006,230,253,265,7665,8030,-3124.8000000000,09,007,Iztapalapa,09007
SACM,490025.0000000000,2136317.0000000000,-0.05166666666666660000,2005,2006,231,253,265,7665,8030,-4464.0000000000,09,007,Iztapalapa,09007
SACM,480690.0000000000,2137954.0000000000,-0.01166666666666660000,2005,2006,232,253,265,7665,8030,-1008.0000000000,09,003,Coyoac?ín,09003
SACM,487986.0000000000,2144947.0000000000,-0.05033333333333330000,2005,2006,233,253,265,7665,8030,-4348.8000000000,09,006,Iztacalco,09006
SACM,480327.0000000000,2148642.0000000000,-0.04466666666666660000,2005,2006,234,253,265,7665,8030,-3859.2000000000,09,016,Miguel Hidalgo,09016
SACM,485357.0000000000,2138170.0000000000,-0.02825000000000000000,2005,2006,235,253,265,7665,8030,-2440.8000000000,09,003,Coyoac?ín,09003
SACM,481261.0000000000,2131506.0000000000,-0.02066666666666660000,2005,2006,236,253,265,7665,8030,-1785.6000000000,09,012,Tlalpan,09012
SACM,482401.0000000000,2131586.0000000000,-0.04358333333333330000,2005,2006,237,253,265,7665,8030,-3765.6000000000,09,012,Tlalpan,09012
SACM,485761.0000000000,2140779.0000000000,-0.03858333333333330000,2005,2006,238,253,265,7665,8030,-3333.6000000000,09,007,Iztapalapa,09007
SACM,487480.0000000000,2146796.0000000000,-0.01866666666666660000,2005,2006,239,253,265,7665,8030,-1612.8000000000,09,017,Venustiano Carranza,09017
SACM,486699.0000000000,2140007.0000000000,-0.05633333333333330000,2005,2006,240,253,265,7665,8030,-4867.2000000000,09,003,Coyoac?ín,09003
SACM,488920.0000000000,2141217.0000000000,-0.03100000000000000000,2005,2006,241,253,265,7665,8030,-2678.4000000000,09,007,Iztapalapa,09007
SACM,480912.0000000000,2132969.0000000000,-0.03199999999999990000,2005,2006,242,253,265,7665,8030,-2764.8000000000,09,012,Tlalpan,09012
SACM,482157.0000000000,2152446.0000000000,-0.04966666666666660000,2005,2006,243,253,265,7665,8030,-4291.2000000000,09,002,Azcapotzalco,09002
SACM,479959.0000000000,2146530.0000000000,-0.01733333333333330000,2005,2006,244,253,265,7665,8030,-1497.6000000000,09,016,Miguel Hidalgo,09016
SACM,480757.0000000000,2138752.0000000000,-0.04174999999999990000,2005,2006,245,253,265,7665,8030,-3607.2000000000,09,003,Coyoac?ín,09003
SACM,480757.0000000000,2138752.0000000000,-0.04174999999999990000,2005,2006,246,253,265,7665,8030,-3607.2000000000,09,003,Coyoac?ín,09003
SACM,478175.0000000000,2149700.0000000000,-0.02241666666666660000,2005,2006,247,253,265,7665,8030,-1936.8000000000,09,016,Miguel Hidalgo,09016
